,title,position,country,genre,original name,year,rating,count,rating_IMBD,position_IMDB,2010-2021,2000-2009,1990-1999,1980-1989,before 1980,delta,main_genre
262,Труп невесты,263,"США, Великобритания","мультфильм, мюзикл",Corpse Bride,2005,7.8,145 261,,,0,1,0,0,0,,мультфильм
263,Такси,264,Франция,"боевик, комедия",Taxi,1998,7.9,204 253,,,0,0,1,0,0,,боевик
264,Гангстер,265,"США, Великобритания","драма, криминал",American Gangster,2007,7.9,113 165,,,0,1,0,0,0,,драма
265,Эрин Брокович,266,США,"драма, биография",Erin Brockovich,2000,7.8,56 456,,,0,1,0,0,0,,драма
266,Суперсемейка,267,США,"мультфильм, боевик","Incredibles, The",2004,7.5,191 917,8.0,391.0,0,1,0,0,0,-0.5,мультфильм
267,Богемская рапсодия,268,"Великобритания, США","биография, музыка",Bohemian Rhapsody,2018,8.0,339 671,7.9,490.0,1,0,0,0,0,0.09999999999999964,биография
268,Жестокий романс,269,СССР,"драма, мелодрама",-,1984,8.1,95 068,,,0,0,0,1,0,,драма
269,Курьер,270,СССР,"драма, мелодрама",-,1986,8.0,102 201,,,0,0,0,1,0,,драма
270,Охота,271,"Дания, Швеция",драма,Jagten,2012,7.9,96 811,8.3,91.0,1,0,0,0,0,-0.40000000000000036,драма
271,Ветер крепчает,272,Япония,"аниме, мультфильм",Kaze tachinu,2013,7.9,57 863,,,1,0,0,0,0,,аниме
272,Выживший,273,"США, Гонконг","приключения, вестерн","Revenant, The",2015,7.8,306 306,8.0,355.0,1,0,0,0,0,-0.20000000000000018,приключения
273,Как украсть миллион,274,США,"комедия, криминал",How to Steal a Million,1966,8.2,80 620,,,0,0,0,0,1,,комедия
274,Огни большого города,275,США,"комедия, мелодрама",City Lights,1931,8.5,54 418,8.5,56.0,0,0,0,0,1,0.0,комедия
275,Догвилль,276,"Дания, Нидерланды","триллер, драма",Dogville,2003,7.9,118 887,8.0,393.0,0,1,0,0,0,-0.09999999999999964,триллер
