,position,country,genre,original name,year,rating,count
Волк с Уолл-стрит,71,США,"драма, криминал","Wolf of Wall Street, The",2013,7.9,669 440
Шоу Трумана,72,США,"драма, комедия","Truman Show, The",1998,8.3,348 905
Титаник,73,"США, Мексика","мелодрама, история",Titanic,1997,8.4,559 173
Любовь и голуби,74,СССР,"мелодрама, комедия",-,1984,8.3,504 941
Бриллиантовая рука,75,СССР,"комедия, приключения",-,1968,8.5,492 399
Рататуй,76,США,"мультфильм, приключения",Ratatouille,2007,8.0,387 922
Омерзительная восьмерка,77,США,"вестерн, криминал","Hateful Eight, The",2015,7.9,391 417
Пианист,78,"Польша, Франция","драма, военный","Pianist, The",2002,8.5,241 745
Звёздные войны: Эпизод 3 – Месть Ситхов,79,США,"фантастика, боевик",Star Wars: Episode III - Revenge of the Sith,2005,8.1,266 498
Американская история X,80,США,драма,American History X,1998,8.3,293 409
Семь жизней,81,США,"драма, мелодрама",Seven Pounds,2008,8.2,269 413
Общество мертвых поэтов,82,США,"драма, комедия",Dead Poets Society,1989,8.2,157 343
Судьба человека,83,СССР,"драма, военный",-,1959,8.4,91 351
Принцесса Мононоке,84,Япония,"аниме, мультфильм",Mononoke-hime,1997,8.2,118 071
Гарри Поттер и Тайная комната,85,"Великобритания, США","фэнтези, приключения",Harry Potter and the Chamber of Secrets,2002,8.0,390 218
Тайна третьей планеты,86,СССР,"мультфильм, фантастика",-,1981,8.0,79 538
День сурка,87,США,"фэнтези, мелодрама",Groundhog Day,1993,8.1,337 371
Головоломка,88,США,"мультфильм, семейный",Inside Out,2015,8.0,363 110
Назад в будущее 3,89,США,"фантастика, комедия",Back to the Future Part III,1990,8.2,274 328
Стальной гигант,90,США,"мультфильм, фантастика","Iron Giant, The",1999,8.1,86 940
Легенда о волках,91,"Ирландия, Люксембург","мультфильм, фэнтези",WolfWalkers,2020,8.2,20 413
Девчата,92,СССР,"мелодрама, комедия",-,1962,8.4,339 892
Мулан,93,США,"мультфильм, мюзикл",Mulan,1998,8.1,194 801
Храброе сердце,94,США,"история, биография",Braveheart,1995,8.3,218 137
Гран Торино,95,"Германия, США",драма,Gran Torino,2008,8.1,220 342
Загадочная история Бенджамина Баттона,96,США,"драма, фэнтези","Curious Case of Benjamin Button, The",2008,8.1,386 807
Укрощение строптивого,97,Италия,"мелодрама, комедия",Il bisbetico domato,1980,8.4,241 663
Шрэк 2,98,США,"мультфильм, фэнтези",Shrek 2,2004,7.7,195 259
Семь,99,США,"триллер, драма",Se7en,1995,8.3,379 530
Игра,100,США,"триллер, драма","Game, The",1997,8.3,285 737
Зверополис,101,США,"мультфильм, комедия",Zootopia,2016,8.3,550 796
Пролетая над гнездом кукушки,102,США,драма,One Flew Over the Cuckoo's Nest,1975,8.5,278 215
Хоббит: Нежданное путешествие,103,"Новая Зеландия, США","фэнтези, приключения","Hobbit: An Unexpected Journey, The",2012,8.1,385 763
"Хороший, плохой, злой",104,"Италия, Испания",вестерн,"buono, il brutto, il cattivo, Il",1966,8.5,129 679
Вверх,105,США,"мультфильм, драма",Up,2009,8.0,295 402
Изгой,106,США,"драма, мелодрама",Cast Away,2000,8.3,293 943
Один дома 2: Затерянный в Нью-Йорке,107,США,"комедия, семейный",Home Alone 2: Lost in New York,1992,8.0,241 780
Пробуждение,108,США,"драма, биография",Awakenings,1990,8.4,133 977
Трасса 60,109,"Канада, США","фантастика, фэнтези",Interstate 60,2001,8.0,253 202
Мальчик в полосатой пижаме,110,"Великобритания, США","драма, военный","Boy in the Striped Pyjamas, The",2008,8.2,230 673
"Добро пожаловать, или Посторонним вход воспрещен",111,СССР,"комедия, семейный",-,1964,8.3,146 561
Звёздные войны: Эпизод 5 – Империя наносит ответный удар,112,США,"фантастика, боевик",Star Wars: Episode V - The Empire Strikes Back,1980,8.1,223 799
